date_time,stid,relative_humidity_high,air_temp_high,heat_index_high,relative_humidity_low,air_temp_low,heat_index_low,lon,lat,geometry
2020-11-11,KLAX,77.07,64.04,62.58659000000001,36.06,46.94,43.958479999999994,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-11-12,KLAX,89.74,66.02,63.932689999999994,34.27,46.94,44.92621,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-11-13,KLAX,93.55,64.4,63.33838000000001,52.03,48.2,46.05136,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-11-14,KLAX,89.18,64.4,63.33838000000001,55.67,50.0,48.80686,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-11-15,KLAX,83.23,80.06,78.43481,14.23,53.06,50.92736,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-11-16,KLAX,55.84,89.96,85.16065863182371,9.55,60.08,57.410439999999994,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-11-17,KLAX,86.65,73.94,72.36316,27.63,55.04,52.62173,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-11-18,KLAX,100.0,62.96,62.12286,65.18,53.6,53.36,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-11-19,KLAX,96.17,60.98,60.452799999999996,72.23,55.4,54.76002,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-11-20,KLAX,96.11,66.2,65.33013,52.11,51.08,50.225629999999995,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-11-21,KLAX,93.7,71.06,69.64542,37.86,53.06,52.435590000000005,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-11-22,KLAX,87.48,66.92,66.07137,58.71,50.0,48.751400000000004,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-11-23,KLAX,100.0,60.98,59.97481,63.18,48.92,48.05643,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-11-24,KLAX,89.96,66.2,64.9781,48.87,53.06,51.91436,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-11-25,KLAX,100.0,62.96,62.01946,65.18,50.0,49.094500000000004,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-11-26,KLAX,96.06,64.94,63.50139,48.59,50.0,49.094500000000004,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-11-27,KLAX,63.18,66.92,63.860020000000006,11.66,48.02,44.261,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-11-28,KLAX,38.0,71.06,68.38535,8.47,48.92,44.86842,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-11-29,KLAX,80.51,73.04,70.52951000000002,10.33,50.0,46.06488,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-11-30,KLAX,66.78,73.94,71.69716999999999,14.11,51.98,48.58362999999999,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-12-01,KLAX,81.88,71.06,68.56912,14.96,48.92,45.76048,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-12-02,KLAX,80.66,77.0,74.97669,12.27,48.2,45.82435,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-12-03,KLAX,69.32,75.2,72.80493,8.02,50.0,46.940490000000004,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-12-04,KLAX,24.44,71.06,68.24529,8.07,50.0,45.65739,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-12-05,KLAX,76.35,69.98,67.14847000000002,10.01,46.94,43.392129999999995,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-12-06,KLAX,92.97,66.92,64.64586,24.58,44.96,42.110420000000005,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-12-07,KLAX,89.74,75.02,72.8377,13.1,46.94,44.65877999999999,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-12-08,KLAX,32.45,80.6,78.76937,7.43,55.04,51.76915,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-12-09,KLAX,67.79,78.8,76.81381,9.05,53.6,50.30359,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-12-10,KLAX,81.61,64.4,63.156490000000005,50.65,48.2,45.82435,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-12-11,KLAX,82.88,60.98,59.549459999999996,55.15,51.8,50.52225,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-12-12,KLAX,93.45,62.06,60.78741,60.03,46.4,45.1298,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-12-13,KLAX,86.31,69.08,66.61765999999999,19.78,50.0,48.58878,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-12-14,KLAX,87.75,66.02,63.48524999999999,23.85,53.96,53.117740000000005,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-12-15,KLAX,51.53,68.0,65.41556,19.48,46.94,43.75590999999999,-118.38889,33.93806,POINT (-118.38889 33.93806)
